service_id,name,description,route,created_at,updated_at
15,"Estar en servicio docente en el MINERD, haber recibido licencias temporales de trabajo hasta un total de 6 ½ meses consecutivos, las lesiones deben ser declaradas de carácter permanente.",,,2022-01-27 12:36:43,2022-01-27 12:36:43
15,"Formulario de solicitud de Pensión del INABIMA, debidamente completado en la institución.",,,2022-01-27 12:37:38,2022-01-27 12:37:38
15,Fotocopia Cédula de Identidad y Electoral.,,,2022-01-27 12:38:26,2022-01-27 12:38:26
15,Acta de Nacimiento Legalizada.,,,2022-01-27 12:38:58,2022-01-27 12:38:58
15,Certificación de trabajo actualizada expedida por la Contraloría General de la República.,,,2022-01-27 12:39:47,2022-01-27 12:39:47
15,Certificación de trabajo del Ministerio de Educación,,,2022-01-27 12:40:26,2022-01-27 12:40:26
15,Tres (3) Fotos 2 x 2 recientes.,,,2022-01-27 12:40:59,2022-01-27 12:40:59
15,Certificado Médico Definitivo (no apto para el trabajo productivo),,,2022-01-27 12:42:19,2022-01-27 12:42:19
15,Epicrisis.,,,2022-01-27 12:43:02,2022-01-27 12:43:02
15,"Expediente cerrado por el médico tratante. Deberá anexar a este expediente los resultados de estudios, imágenes, análisis y otros aportes",,,2022-01-27 12:44:05,2022-01-27 12:44:05
15,"Poder Notarial que acredita como representante del afiliado a la persona que haga la solicitud, en caso de que el certificado médico indique que la condición de salud del afiliado le impida asistir personalmente.",,,2022-01-27 12:44:58,2022-01-27 12:44:58
20,Dos (2) copias del pasaporte del menor de edad y una (1) copia del pasaporte de su acompañante.,Dos (2) copias del pasaporte del menor de edad y una (1) copia del pasaporte de su acompañante.,,2019-03-29 19:30:13,2019-03-29 19:30:13
20,Una (1) copia de visa o residencia del menor y de su acompañante.,Una (1) copia de visa o residencia del menor y de su acompañante.,,2019-03-29 19:30:29,2019-03-29 19:30:29
20,Un (1) original de acta de nacimiento legalizada del menor. Una (1) copia si es extranjero.,Un (1) original de acta de nacimiento legalizada del menor. Una (1) copia si es extranjero.,,2019-03-29 19:30:42,2019-03-29 19:30:42
20,Dos (2) fotos 2x2 de frente del menor de edad.,Dos (2) fotos 2x2 de frente del menor de edad.,,2019-03-29 19:30:57,2019-03-29 19:30:57
20,Una (1) copia de las cédulas de los padres que autorizan.,Una (1) copia de las cédulas de los padres que autorizan.,,2019-03-29 19:31:08,2019-03-29 19:31:08
20,Acta notarial debidamente legalizada.,Acta notarial debidamente legalizada.,,2019-03-29 19:31:22,2019-03-29 19:31:22
21,Copias de las cédulas de ambos padres,Copias de las cédulas de ambos padres,,2018-11-13 21:04:40,2018-11-13 21:04:40
21,Copia de visa o residencia del menor y de su acompañante.,Copia de visa o residencia del menor y de su acompañante.,,2018-11-13 21:02:41,2018-11-13 21:02:41
21,1.    (02) Dos copias del pasaporte de menor y (01) copia del pasaporte de su acompañante.,1.    (02) Dos copias del pasaporte de menor y (01) copia del pasaporte de su acompañante.,,2018-11-13 21:02:03,2018-11-13 21:02:03
21,Cédula de Identidad y Electoral de ambos padres,Cédula de Identidad y Electoral de ambos padres,,2018-11-06 15:44:29,2018-11-06 15:44:29
21,Fotocopia Cédula de Identidad y Electoral.,Fotocopia Cédula de Identidad y Electoral.,,2018-11-06 14:14:20,2018-11-06 14:14:20
21,Acta de nacimiento legalizada.,Acta de nacimiento legalizada.,,2018-11-06 14:14:20,2018-11-06 14:14:20
21,Foto 2 x 2 recientes.,Foto 2 x 2 recientes.,,2018-11-06 14:14:20,2018-11-06 14:14:20
32,"Original del extracto de acta de defunción del afiliado, debidamente legalizada.",,,2022-01-28 08:23:15,2022-01-28 08:23:15
32,"Original del Acta policial o autoridad competente (aplica en caso de que el fallecimiento del afiliado no haya sido por causa natural, sino por accidente de tránsito).",,,2022-01-28 08:23:50,2022-01-28 08:23:50
32,Copia de la cédula de identidad y electoral del fallecido.,,,2022-01-28 08:24:25,2022-01-28 08:24:25
32,"Certificación emitida por el Centro de Estudios para el cual prestaba servicios el docente, donde se especifique el horario de entrada y salida.",,,2022-01-28 08:26:16,2022-01-28 08:26:16
32,"Aplica en caso de que el fallecimiento del afiliado no haya sido por causa natural, sino por accidente de tránsito.",,,2022-01-28 08:27:22,2022-01-28 08:27:22
32,Certificación Laboral emitida por el Ministerio de Educación (MINERD).,,,2022-01-28 08:28:49,2022-01-28 08:28:49
32,Original de la Compulsa contentiva de la Determinación de Herederos del fallecido (a) debidamente legalizada en la Procuraduría General de la República.,,,2022-01-28 08:29:36,2022-01-28 08:29:36
32,Copia de Determinación de Herederos realizada por 7 comparecientes y 2 Testigos.,,,2022-01-28 08:30:44,2022-01-28 08:30:44
32,"Dichos comparecientes y testigos no pueden tener apellidos iguales entre sí, ni con la docente, los beneficiarios de ni con el notario; Anexar todas las Cédulas de los Comparecientes y Testigos.",,,2022-01-28 08:33:16,2022-01-28 08:33:16
32,"Copia de la cédula de identidad y electoral de todos y cada uno de los herederos: esposo(a), compañero(a) de vida, hijos(as), padres.",,,2022-01-28 08:33:53,2022-01-28 08:33:53
32,"Original del acta de nacimiento debidamente legalizada, de todos y cada uno de los herederos comparecientes:  Esposo(a), compañero (a) de vida, hijos (as), padres.",,,2022-01-28 08:37:00,2022-01-28 08:37:00
32,"Cuenta Bancaria del Reservas de Libreta de los beneficiarios, no puede ser Mancomunada.",,,2022-01-28 08:38:11,2022-01-28 08:38:11
