service_old_id,process_id,code_serv,name,provider,send,send_expertcode,app_movil,service_status_id,area_service_id,institution_id,service_type_id,expertform_id,flow_id,process_flow,rating,description,slug,criticidad,link_access,helper_link,document_exit,multiple_document,sirit_code,external_pay,config_service,status_alert,created_at,updated_at,visited,requested,is_always_available,institution_name,institution_acronym,area_name,area_slug
50,,minerd-certificacion-de-octavo-2250,Certificación de Octavo,portal,1,0,1,1,1,22,1,,4,,0.00,"Este servicio permite a los ciudadanos generar su certificación de octavo grado, sin importar si cursó en una escuela pública o colegio privado, sin tener que trasladarse al centro educativo o al Ministerio de Educación. Está dirigido a estudiantes de 8vo grado de educación de Nivel Básico hasta 2016, así como a las certificaciones del Tercer Ciclo de Educación Básica de Personas Jóvenes y Adultas.",certificacion-de-octavo,,http://www.ministeriodeeducacion.gob.do,http://www.ministeriodeeducacion.gob.do/servicios/padres-y-alumnos/certificacion-de-nivel-basico-pruebas-nacionales,,false,,0,,0,2019-02-18 13:58:07,2022-09-17 03:28:33,361,0,1,Ministerio de Educación,MINERD,Educación,EDUCACION
65,,mescyt-consulta-estatus-de-legalizacion-de-documentos-academicos-765,Consulta Estatus de Legalización de Documentos Académicos,portal,1,0,1,2,1,7,1,,3,,0.00,"Este servicio permitirá a todos los ciudadanos que soliciten legalizar y certificar sus documentos académicos de Estudios Superiores, consultar el estatus en que se encuentra vía el portal del MESCyT.",consulta-estatus-de-legalizacion-de-documentos-academicos,,https://www.mescyt.gob.do/,https://mescyt.gob.do/consulta-expedientes-procesos/,,false,,0,,0,2019-03-19 22:49:00,2022-05-17 16:42:30,551,0,1,"Ministerio de Educación Superior, Ciencia y Tecnología",MESCYT,Educación,EDUCACION
69,,optic-prueba-2-22mar19-169,Prueba 2 22MAR19,portal,1,0,1,2,1,1,1,,5,,0.00,Prueba de error servicios no se despliegan,prueba-2-22mar19,,https://psplbk.serviciosrd.gob.do,preuba2.com,,false,,0,,0,2019-03-22 21:19:58,2020-07-15 11:08:45,0,0,0,Oficina Gubernamental de Tecnologías de la Información y Comunicación,OGTIC,Educación,EDUCACION
71,,minerd-certificacion-de-bachiller-2271,Certificación de Bachiller,portal,1,0,1,1,1,22,1,,4,,0.00,"Este servicio permite la obtención del certificado de bachiller de manera inmediata para todos los estudiantes que superaron las Pruebas Nacionales desde el año 1992 a la fecha, sin importar el centro educativo, público o privado, del que haya egresado.",certificacion-de-bachiller,,http://www.ministeriodeeducacion.gob.do,http://www.ministeriodeeducacion.gob.do/servicios/padres-y-alumnos/consulta-resultados-de-pruebas-nacionales,,false,,0,,0,2019-03-29 14:15:54,2022-09-27 00:36:36,1186,0,1,Ministerio de Educación,MINERD,Educación,EDUCACION
72,,optic-servicio-eliminado---becas-de-educacion-permanente-172,Servicio Eliminado - Becas de Educación Permanente,portal,1,0,1,2,1,1,1,,5,,0.00,"A través de este servicio, el Instituto Tecnológico de Las Américas (ITLA) permite el acceso a programas de estudios técnicos y/especialización con el objetivo de aportar con la formación intelectual de jóvenes talentos carentes de recursos económicos.",servicio-eliminado---becas-de-educacion-permanente,,https://psplbk.serviciosrd.gob.do,http://www.itla.edu.do/asistenciafinanciera/educacion_permanente.html,,false,,0,,0,2019-03-29 15:03:34,2020-07-16 19:11:58,0,0,1,Oficina Gubernamental de Tecnologías de la Información y Comunicación,OGTIC,Educación,EDUCACION
73,,optic-servicio-eliminado---solicitud-becas-tecnologo-173,Servicio Eliminado - Solicitud Becas Tecnólogo,portal,1,0,1,2,1,1,1,,5,,0.00,Este servicio le permite solicitar una beca de tecnología.,servicio-eliminado---solicitud-becas-tecnologo,,https://psplbk.serviciosrd.gob.do,https://www.itla.edu.do/becas-tecnologo,,false,,0,,0,2019-03-29 15:09:48,2020-07-16 19:18:00,0,0,1,Oficina Gubernamental de Tecnologías de la Información y Comunicación,OGTIC,Educación,EDUCACION
94,,mh-solicitud-administracion-responsable-2794,Solicitud Administración Responsable,portal,1,0,1,1,1,27,1,,4,,0.00,Gestionar y dar respuesta a las solicitudes de inscripción del sujeto obligado que será responsable de transparentar las operaciones del Casino ante la DCJA (Administrador responsable).,solicitud-administracion-responsable,baja,http://www.hacienda.gob.do,https://www.hacienda.gob.do/servicio/solicitud-administracion-responsable/,,false,,0,,0,2019-03-31 12:48:48,2022-08-24 11:06:51,35,0,1,Ministerio de Hacienda,MH,Educación,EDUCACION
95,,mh-cese-de-temporal-de-maquinas-tragamonedas-2795,Cese de Temporal de Máquinas Tragamonedas,portal,1,0,1,1,1,27,1,,4,,0.00,Solicitud de la Rescisión temporal del permiso otorgado por la Dirección de Casinos y Juegos de Azar para operar Máquinas Tragamonedas.,cese-de-temporal-de-maquinas-tragamonedas,baja,http://www.hacienda.gob.do,https://www.hacienda.gob.do/servicio/cese-de-temporal-de-maquinas/,,false,,0,,0,2019-03-31 13:07:56,2022-08-04 11:15:38,30,0,1,Ministerio de Hacienda,MH,Educación,EDUCACION
96,,mescyt-certificacion-en-linea-de-ingles-por-inmersion-796,Certificación en Línea de Inglés por Inmersión,portal,1,0,1,2,1,7,1,,3,,0.00,"Este servicio permite a todos los egresados del Programa de Inglés de Inmersión, desde el 2008 a la fecha, realizar de manera automática la impresión de su certificado y certificaciones vía el portal del MESCyT",certificacion-en-linea-de-ingles-por-inmersion,,https://www.mescyt.gob.do/,http://certificadoingles.mescyt.gob.do/Account/Login?ReturnUrl=%2f,,false,,0,,0,2019-04-01 13:30:34,2022-05-17 16:42:30,164,0,1,"Ministerio de Educación Superior, Ciencia y Tecnología",MESCYT,Educación,EDUCACION
101,,mescyt-consulta-validacion-de-titulos-academicos-en-linea-7101,Consulta Validación de Títulos Académicos en Línea,portal,1,0,1,2,1,7,1,,3,,0.00,Este servicio permitirá consultar la validación de títulos académicos de un egresado de las Instituciones de Estudios Superiores (IES) nacionales vía el portal del MESCyT,consulta-validacion-de-titulos-academicos-en-linea,,https://www.mescyt.gob.do/,https://mescyt.gob.do/consulta-expedientes-legalizados/,,false,,0,,0,2019-04-01 13:55:50,2022-05-17 16:42:30,261,0,1,"Ministerio de Educación Superior, Ciencia y Tecnología",MESCYT,Educación,EDUCACION
